ID;Transcription;tag;Link;classifier
0;é que vocês vão ao banheiro e quando sai sai todo o calção todo enrolado a bermuda toda enrolada Ei eu acho que eu vou contratar uma pessoa sabe Para quê Quem é essa pessoa eu não sei para me ajudar a ensinar vocês a vestir a roupa porque eu já passei 43 anos e não consegui os calções é toda vez que vocês vão no banheiro deixa eu passar toda bagunça por que hein que vocês não se organizem hein então nem aí né que coisa é isso é palhaçada sua não é palhaçada precisa estar ajeitando as vezes a gente tá no shopping rapaz vocês vão ao banheiro quando sai sai todo bagunçado é quem gosta Ai gosta de fazer isso mas não tem vergonha não bicho eu não tenho nada e você não tenho vergonha tem mamãe para ajeitar né Você quer que eu suporte de tudo né;TEA;https://www.instagram.com/reel/C6fO5FfLmED/?igsh=MXAyOHJsejdncGZodg==;Experiência Pessoal
1;encher as garrafas eu não posso Pois é meu filho tem três é porque não sei eu fico eu senta aí cocô errado tem um problema de coluna não dá para eu ficar sentado mas eu nunca vi você se queixar de coluna dor na coluna você tem é muita preguiça de encher as garrafas d'água né que coisa feia agora para beber Você bebe todo todo toda vez que você quer tomar não sei o meu problema é essa coluna aqui é essa coluna aqui eu não acho todo dia eu fico fica com preguiça diga assim que coisa feia você já não faz quase nada um em cima tá bom assim;TEA;https://www.instagram.com/reel/C62Nj8BxD3W/?igsh=MXVjcWtqZmN6MnRuOQ==;Experiência Pessoal
2;hoje é o dia mundial da conscientização do autismo então feliz dia para aqueles que têm hipersensibilidade auditiva para aqueles que perdem minutos de uma refeição só separando aquilo que não gosta de comer para aqueles que têm performances específicos em coisas específicas para aqueles que precisam sempre de um ritual diário para se manter regulado para aqueles que não conseguem socializar não importa o quanto eles tentem e para aquelas pérolas que acabam falando que pensam sem medir as consequências e também para aqueles que nem sempre conseguem se comunicar da forma que deseja de 9:30 da noite de hoje eu farei uma live com a minha mãe na plataforma que começa com o tempo tira muitas dúvidas sobre autismo e se você tem interesse de conversar com a gente diretamente e já corre na Live E mais uma vez feliz dia para todos;TEA;https://www.instagram.com/reel/C5RReZ9rzRm/?igsh=MTJkM21teXc5dDU3eg==;Útil
3;droga;TEA;https://www.instagram.com/reel/C6bnmfVuhHX/?igsh=MTI1c2Z5bzBoZDYydw==;Experiência Pessoal
4;cientista elaborado sistema comum mas que normalmente Por que estamos sendo a era dele acertar Senhor da palavra simplista também conhecida como pau grande e tem Golias Sanhaço isso para mim notícias na forma diferente de verdade do mundo e praticamente tem sentido e vai chegando não apareceu na frente impressora homens;TEA;https://www.instagram.com/reel/C5Q3IUtLmLz/?igsh=b2hvaThvdDh6ZXI0;EXCLUÍDO (Espanhol)
5;consultar esse balãozinho de Deus ele vai ficar bem por causa que o papai do céu vai achar ele vai encontrar o papai do céu e diz assim papai do céu o Lucas me soltou para para ser libertado Tudo bem eu vou fazer igual um orçamento de foguete idiota três dois um um episódio louca olha vai estourar Eita foi para cá eita meu Deus Caraca tchau tchau avião mas tá muito longe né nossa ele vem levado pelo vento né ele vai ficar bem ele tá com a sacolinha né Essa galinha foi embora também né vovó aquela figurinha era a sua foi bem mais alto né;TEA;https://www.instagram.com/reel/C6ICcZuoB68/?igsh=dGRobTl1ZnRuenow;Experiência Pessoal
6;olha só os meus irmãos autistas brigando por causa de um ovo só dá uma olhada aqui nesse outro mano tira a mão no meu olho a pessoa comendo tu vai mete a mão então é mal educada mamãe ensina a educação para essa menina Eita vai chorar é pois chore chore aí sabe o que acontece Pedro é que eu tô com um pouquinho de fome sabe eu tô ligado Pois é já saquei Já já esse pedaço aqui eu não quero não aí tu como é esse pedaço aí tá pronto virei lixeira de Manu Vê se pode um negócio desse minha dignidade fica aonde esse esse feminismo É eu gosto dessa parte aqui amarela do ovo entendeu eu gosto ela é mais macia assim para mim tem mais gosto entendeu você ouve aqui tá muito bom aí Tá bom então deixa eu provar aqui o meu tu também comente Pitaco tu vai perder ó como é que come é um mordidão entendeu para aí você come come direito né mamãe não é assim eu não sei o que que tu tá pensando aí mas na minha cabeça esse ovo aqui é meu entendeu eu declarei quando ele já tava na frigideira que ele era meu minha irmã Desencana do meu ovo Bicha chata da mulher pronto aí ó não quero mais tá todo babado esse ovo aqui também não quero não consigo sempre tudo que eu quero olha só comi o meu ovo inteiro ai já comigo nos ovos dos outros aí quando faz o ovo dela ela não quer fica aí tomando o ovo dos outros como se estivesse autoridade para fazer isso comentando eu arreguei agora mas já vou dizendo que a próxima comida que aparecer aqui eu vou comer ela inteira viu mamãe tá ouvindo mamãe;TEA;https://www.instagram.com/reel/C6UKMyMrKMg/?igsh=d3FkZnJveTloOThi;Experiência Pessoal
7;meu filho tem 4 anos autista nível 3 e o Gabriel eu moro na barriga até hoje eu não consigo encontrar tratamento para ele graças a Deus ele está na escola estadual amante que tem um assistente que ajudaram que se chama Cris e nem plano de saúde que graças a Deus hoje eu recebo o dinheiro dele há dois meses e eu consigo fazer para ter terapia e ele piora e eu vou junto com ele vou ajudar tá Que luz velho Muito obrigado;TEA;https://www.instagram.com/reel/C5hJas8pOxF/?igsh=dHgzeHlncDRuZnFy;Experiência Pessoal
8;eu sou autista eu coloquei meu nome Clara carro por causa do carro e não sumiu sabe se eu sou a Clara por causa do carro Renault Sandero que é meu maior impressão eu desista e é óbvio porque eu amo ouvir na escola porque eu sei que na ilha Na volta eu vou ver Várias escolas que é meu maior importância;TEA;https://www.instagram.com/reel/C6JPQOcuevI/?igsh=OGtqbXd3bjI3Zzlp;Experiência Pessoal
9;sinais de autismo em adultos ter poucos amigos ou nenhum não gostar de receber visita preferi ficar em casa do que sair nervosismo quando precisa conversar com alguém que não tem intimidade ou para fazer ligações ser resistente a mudança e ter padrões rígidos de comportamento de pensamento preferir trabalhar sozinho do que em equipe sentir desconforto ao fazer contato visual desconforto com barulhos lugares muito agitados e pessoas falando ao mesmo tempo esgotamento depois de interações sociais ensaiar ou fazer scripts mentais do que vai falar quando for interagir socialmente desconforto com luzes muito fortes cheiros texturas de roupas e etiquetas e irritabilidade sem motivo aparente dificuldade para dormir com claridade e distúrbios do sono e aí se identificou com quantos me conta nos comentários e não esquece de ler a legenda;TEA;https://www.instagram.com/reel/C54ePPktUYC/?igsh=YTF3ZHZ4amF3YW5h;Enganoso
10;saia dessa ia ver se gosta é porque porque aqui estou saia Verde;TEA;https://www.instagram.com/reel/C6evUF5RQPH/?igsh=dHpmaGtwN3luc29p;Experiência Pessoal
11;eu não deixei a minha irmã autista fazer o que ela queria e ela resolveu me punir para quem não sabe eu estou falando de Manu que ela é muito adorada nessa conta o que acontece né Um dia ela tinha vindo aqui e ela tava lá no meu quarto como de costume ou desfoco aqui mas como de costume ela tava no meu quarto porque ela gosta de ver desenho e mamãe e eu estávamos com uma fita dupla face colando os meus quadros na parede vou mostrar para você que são esses quadros aqui inclusive um ali caiu aí vocês estão vendo essa fita aí branquinha enfim o que acontece é que Manu estava querendo brincar com a filha e eu não queria brincar normal ela queria arrancar a fita inteira dinheiro não nasce em árvore né obviamente não deixa ela fazer isso e também Manu tem Toddy que é o transtorno opositor desafiador Então ela tem uma extrema relutância ser contrariado Mas não é por isso também que a gente pode deixar ela fazer o que ela quiser peguei a fita dela e falei você não vai ter a fita e acaba quando eu saí do quarto que eu saí com a minha mãe né deixou lá ela vendo desenho como ela tava vendo tem uma coisa sobre uma lua que ela é muito rancorosa aí o que foi que ela fez a gente saiu do quarto quando eu ouço só ela ela afundando e querendo chorar aí eu cheguei no quarto e ela tava simplesmente tentando arrancar os quadros que eu colei na parede ela tentou fazer isso só porque eu não dei a fita para ela ou seja ela tava prestando atenção que eu tava querendo os quadros ali na parede e esperou sair no quarto para poder arrancar a parede porque afinal se ela não podia ter o que ela queria eu também não podia aí para quem fala assim ah autista em nível 3 parte não entende nada sei lá enfim né;TEA;https://www.instagram.com/reel/C5WoLseuD6j/?igsh=MTF5b2NyZHplNGI1eg==;Experiência Pessoal
12;Você sabe por quê cada dia Tem mais crianças autista eu sou o Miguel e sou autista nível 1 de suporte você já deve ter ouvido alguém falar nossa tudo agora é autista agora cada criança agora é o artista Na verdade o número de Diagnóstico aumentou por vários fatores mas com certeza o principal deles é que os pais estão muito atentos pais que não se preocupam e que não tem vergonha de ajudar os seus filhos com seus desafios e que sabem o diagnóstico é só um ponto de partida e para esses pais eu bato uma salva de palmas compartilhe esse vídeo e nos siga aqui no Instagram;TEA;https://www.instagram.com/reel/C58sb9kO70b/?igsh=OTdqeTRqMGs1ZnY5;Útil
13;Ó gente o Arthur ficou bravo só porque eu mudei o caminho ele tá se batendo tinha um caminhão ó a gente tá indo filho tinha um caminhão e a gente não conseguia passar na rua para gente virou em outra rua ele ficou desse jeito desse jeito ó tamo indo para escola Arthur Gabriel quarta-feira tá feliz filho estamos chegando aí ó na porta da escola chegamos Eba mamãe já tá pronto que rápido foi muito rápido não deu nem tempo ai que lindo carregando a mala que lindo filho;TEA;https://www.instagram.com/reel/C6rojF-uTKm/?igsh=MWthdTM1dGtzeHd4NQ==;Experiência Pessoal
14;coisas que tornam minha irmã autista única e sim ela estava dentro do bar mano é extremamente curiosa e observadora sempre que a gente usa um objeto na frente dela por mais que tenha sido só uma vez e Pareça que ela nem percebeu ali o que a gente tava fazendo ela já entendeu Como funciona aquele objeto e se ela pegar ela vai tentar replicar por mais que ela não fale ela sempre procura replicações de animais se caso o gato Manu Manu ama desenho animado mas ela sempre prefere os que tem o pior gráfico possível se o desenho animado tem aquele gráfico Super Show atualizado o punk das galáxias ela não vai querer ela vai querer o mais lascado e outra coisa sobre ela também que assim como eu eu odeia ver uma porta aberta e ela sempre tem que fechar quando mandou fica irritada por não conseguir achar o desenho animado que ela quer ela simplesmente desliga a TV porque ela não tem paciência para procurar outra coisa que ela é um poço sem fundo cabe tudo de comida nessa menina e ela continua mal é a última coisa que ela faz suas próprias experiências na cozinha com base no que ela já viu a gente fazendo a questão é que ela não sabe fazer exatamente mas ela sabe como funciona e por isso ela acha que ela vai conseguir fazer mas ela não consegue;TEA;https://www.instagram.com/reel/C4y3N5PLCjc/?igsh=Zm1oZG5mY2UyZHh4;Experiência pessoal
15;meu irmão autista Conseguiu quebrar o macaco indestrutível pasmem não demorou nem um dia eu não devia ter subestimado a capacidade de destruição do furacão Pedro e nesse cenário eu tenho mais pena da pobre da Manu mesmo porque ela tinha gostado muito do macaco Já ensinei para ela como era que destruía né Sem destruir de fato eu não pensava que Pedro fosse encontrar uma forma de destruir de fato Ah mas como que você sabe que foi Pedro Por que essa marca registrada de Pedro olha só olha a cara do destrói olha como ele já mordia com um ódio esse macaco ele já pensando eu vou quebrar isso aqui fica com o vídeo da destruição do macaco ou os restos que minha mãe encontrou procurando macaco Eita Bruna olha aqui mais aqui e olha olha aqui minha filha sinal de macaco morto viu Eita Bruna olha minha filha tá aqui nega e para quem adivinhou né que o macaco ia acabar morto na boca Tinha que ser o furacão Pedro;TEA;https://www.instagram.com/reel/C4EV206LgUQ/?igsh=MW8xYTk1NjIxaG02Nw==;Experiência pessoal
16;mandar o joelho que tá doendo eu acho que semana Telma dele cadê onde é é aqui é aqui mesmo aqui é é vai também você disse que bateu numa perna agora já são os dois as duas pernas hum passou para outra perna foi a dor hein aí já tá já quer nas duas horas mas você vai ver tá melhorando Já está melhorando quer dizer acabou dessa passou para essa foi mesmo passou de uma perna para outra você tá falando a verdade que eu levei ontem você levou a pancada numa perna aí passou para outra foi eu tava dizendo que passou Conta essa história direito não quando eu cheguei na cama eu já tava me levantando aí a pancada é muito grande;TEA;https://www.instagram.com/reel/C6uMfQkRMRq/?igsh=bjR6eWlpN3oyMHdn;Experiência pessoal
17;mandar o joelho que tá doendo eu acho que semana Telma dele cadê onde é é aqui é aqui mesmo aqui é é vai também você disse que bateu numa perna agora já são os dois as duas pernas hum passou para outra perna foi a dor hein aí já tá já quer nas duas horas mas você vai ver tá melhorando Já está melhorando quer dizer acabou dessa passou para essa foi mesmo passou de uma perna para outra você tá falando a verdade que eu levei ontem você levou a pancada numa perna aí passou para outra foi eu tava dizendo que passou Conta essa história direito não quando eu cheguei na cama eu já tava me levantando aí a pancada é muito grande;TEA;https://www.instagram.com/reel/C6uMfQkRMRq/?igsh=bjR6eWlpN3oyMHdn;Experiência pessoal
18;porque não quis liberar tudo mais traz felicidade quer passar por que não quebrará;TEA;https://www.instagram.com/reel/C5__8LpJJoQ/?igsh=ZHlvZ2gxb2hwOTgw;Excluído (espanhol)
19;eu sei que a senhora gosta de mim gosto e muito e você e do seu irmão às vezes quando eu fico assim sabe assim Como assim pensando na senhora o jeito da senhora como é Meu Jeito Seu Jeito brincalhão o seu jeito de vender Tô com medo com meu irmão você gosta adoro você Eu também te adoro e você a você e ao seu irmão;TEA;https://www.instagram.com/reel/C6C2QEpxFaO/?igsh=MTBxYXNxOXF3NndjYg==;Experiência pessoal
20;vem ver só a minha irmã autista não verbal falando que coisa linda Manu olha para mim olha para mim Fala Bruna Bruna Bruna Bruna só dessa vez vai Bruna Fala Bruna Pedro Google papai papai ai meu Deus papai então papai;TEA;https://www.instagram.com/reel/C454a44LhnQ/?igsh=MWw3eGtteW9nbHMyaA==;Experiência pessoal
21;vem ver só a minha irmã autista não verbal falando que coisa linda Manu olha para mim olha para mim Fala Bruna Bruna Bruna Bruna só dessa vez vai Bruna Fala Bruna Pedro Google papai papai ai meu Deus papai então papai;TEA;https://www.instagram.com/reel/C454a44LhnQ/?igsh=MWw3eGtteW9nbHMyaA==;Experiência pessoal
22;motivos pelos quais a minha irmã autista já surtou ela já surtou porque a comida que ela queria comer não estava do jeito que ela queria comer cortado do jeito que ela queria comer e na quantidade que ela queria ela surta constantemente por não encontrar o desenho que ela quer ela surta sempre que papai muda a rota do carro no meio do percurso porque ela não tá acostumada com a Rota nova ela também surta sempre que a gente ignora o fato dela querer comer tudo na casa e acaba não sabendo o que ela quer surta constantemente com Pedro por ele ficar abrindo a porta onde ela tá vendo TV porque ela gosta de ficar isolada Então ela surta e agride ela surta toda vez que eu tento fazer uma entrevistando com ela porque ela enjoou disso e não quer mais falar Manuela também surta sempre que a gente não dá ela o objeto que ela quer brincar Mesmo ele sendo totalmente inapropriado para ela brincar como por exemplo uma tesoura e agora tomando suco bem mais coisa mas você colocasse tudo nesse vídeo ele ia ter uns 5 minutos se você tem interesse em conhecer mais sobre a nossa rotina típica tendo três autistas na família não esquece de visitar o meu site Bela sincera.com que lá eu tô vendendo um livro Diário de um autista tem formato ebook e também um livro físico e esse foi o vídeo Espero que tenham gostado beijinho;TEA;https://www.instagram.com/reel/C533xpmOJvD/?igsh=MWQwZHMwZzVjODd6Yw==;Experiência pessoal
23;Sônia thank you for playing cards gordas times Roman sometimes everything is known for What Journey Tá pequeno fazendo garrafa;TEA;https://www.instagram.com/reel/C5aw3I6rwp9/?igsh=N2dpZjl5NWt5bm13;Experiência pessoal
24;Leonardo fala sobre autismo Maria Alice é autista confira no vídeo para vocês uma doença chamada autismo né então muitas crianças com autismo e através do senador da República Jorge Kajuru que aqui em Goiânia está montando o centro de apoio a essas crianças com autismo e o dado muito preocupante porque Segundo a OMS Organização Mundial da Saúde A cada 10 crianças que nasceram daqui para frente 5 terão autismo Então isso é muito preocupante quero parabenizar você Jorge Kajuru por essa por esse feito muito grande para as crianças para o povo que tem essa doença autismo boca você tá rindo de quê o cabelo tá para cima do papai ai irmãzinha Maria Alice como é que faz irmãzinha Mariana;TEA;https://www.instagram.com/reel/C5HEyPNPcng/?igsh=MXN3MGhsdnh0dWpnNg==;Enganoso
25;não não vai mexer não aí não quer que eu mexa Nem chega nem perto Nem chega perto não é nem para eu chegar perto é se não eu posso né jogar você sabia não deixa nem minha mãe chegar perto Olha não tem mais Onde colocar ó não deixe não eu não quero jogar fora não Você é quem vai olhar tudinho e ver se tem algum que não é não quero Ah não não pode não posso tá certo não posso porque você não vai ser pior para mim o que é assim que pode acontecer com você se você jogar alguns potes uns potinhos fora o que é que pode acontecer algo isso tem muitos ali não cabe mais nenhuma ali nunca mais nenhum peixe posso deixar né então se a Adriana trouxer mais e não tem mais a gente colocar né eu vou guardar enfim ali em cima é sim vai dormir vai já tá na hora né agora não quer dormir agora não então boa noite boa noite boa noite sorridente;TEA;https://www.instagram.com/reel/C6m5y_Cr-0Z/?igsh=MXFtMTE1N2YyNXhscg==;Experiência pessoal 
26;eu sou autista E é claro que eu preciso de um tempo para assimilar as informações que meu coração você precisa Lembrar de fazer aquela movimento meu Deus o que será que ele tá falando eu sou autista E é claro que você não vai desmarcar um compromisso comigo em cima da hora eu sou autista É claro que eu por conta do hiperfoco posso ficar horas fazendo a mesma coisa eu sou autista E é claro que eu adoro uma rotina e os alarmes são os meus melhores amigos eu sou autista E é claro que você não precisa ter medo de mim eu não morto a não ser que você me implore eu só autista E é claro que tudo tem o seu lugar de estar E aí de você se mexer;TEA;https://www.instagram.com/reel/C5ZSQPYuCD6/?igsh=M3J2d3o3cGs4cWYw;Experiência pessoal
27;tá passando as coisas aqui tem uma menininho pegando por favor fingir que eu não tô nem vendo já botou uma pipoca aqui ó você escutou vendo não vamos ver o que que ela vai fazer nada que guardou guardou Vixe Maria Diane você quer você quer então coloca aqui dentro pode colocar aqui dentro a gente vai levar o quê que você quer Eita minha filha passar os dela porque ela é besta ela quer passar o dela na frente logo aí a gente tá no estacionamento descarregando as coisas no carro a única coisa que tinha ele pegou foi o quê entrando no carro com uma sacola do Salgadinho;TEA;https://www.instagram.com/reel/C5PAkNPPwtZ/?igsh=MWg2cWw4a2lkeTloNQ==;Experiência pessoal
28;que foi eu conheço o jeito dela eu conheço a peça Telma é porque eu cheguei eu disse Telma os meninos ficaram lá em Maxwell vem logo aí vocês não vieram logo hein chegaram agora né bichinho quer eu quero ela quer se aparecer ela quer aparecer hora de vir para casa tem que vir para tomar banho para almoçar e depois descansar não é para estar na casa dos outros não tá vendo anjo e ainda chega cheia de razão não venha brigar comigo não não venha dizer nada não olha olha tá vendo não foi com essa carinha de santinha para o meu lado não tá querendo desdobrar sabido Ô Telma ele vai lhe pedir desculpa vamos logo aí essa Desculpa até mais que você falou aborrecido com ela vamos estou mandando entendeu ela fica brigando comigo mas não ela queria que você chegasse cedo essa desculpa é porque eu demorei um pedaço aí eu voltei eu tava fazendo o quê tava com a menina;TEA;https://www.instagram.com/reel/C3_LCBMRUHu/?igsh=OWhxOXdoN3h3MThy;Experiência pessoal 
29;Sônia thank you for playing cards Borges Messenger times Roman sometimes everything is known acordar 6:00 what's your name Tá pequeno Fazenda Raven Lopes 69 Facebook portal doente One Direction;TEA;https://www.instagram.com/reel/CrqvomRg2Ot/?igsh=dTYwcXdoZXNiNjlm;Experiência pessoal 
30;e a vovó que fez a simpatia do pintinho para eu falar Pronto A vovó já arrumou já arrumou para Cabeça Ela pegou um pintinho para fazer uma simpatia com a boca para você falar abre a boca Google Abre a boquinha abre aí tá agora é só aguardar o Enrico falar né mãe o Enrico ó a vovó olha aqui pediu para o moço pediu para o moço piscina devagarinho pronto para mudar ele para a mamãe dele fala assim me ajuda a falar pipiu da pipiu para mãe mãe dele né porque eu já vi que tem bastante galinha aqui é mais uma tentativa né mãe;TEA;https://www.instagram.com/reel/C5nqSuEO4Cx/?igsh=MWc0Y2F2c2gyOTRqaQ==;Experiência pessoal 
31;Justiça do Trabalho autoriza redução de jornada de trabalho em 50% para empregado que possui filho autista É isso mesmo e a empresa que esse funcionário trabalha é empresa privada não é empresa pública sem prejuízo do seu salário ou que precise compensar as horas depois a justiça do trabalho determinou essa redução de 50% da jornada do trabalho para que esse empregado possa levar esse seu filho com autismo em consultas e tratamentos médicos a e atenção a lei não exige que esse pai ou essa mãe seja solo e aí o que você achou dessa decisão me conte aqui nos comentários;TEA;https://www.instagram.com/reel/C5DZ2RXAe0X/?igsh=MWdzOTdtdmgxeWgxYg==;Útil
32;a gente vai ali no Alexandre Para quê Para ele olhar um pouquinho seus dentes como é que estão entendeu E por que que ele quer me olhar meu bem por quê Porque para fazer uma limpeza tá muito quente o meu o meu não está não tem aí a gente vai só tirar as manchinhas hein para onde nós vamos no consultório de Alexandre para eles ele olhar esse Deus tem tirar essa coxinha que tem entendeu agora aí quando é que ele terminar eu não sei se vai dar para tirar não mas é mamar dá para tirar tá;TEA;https://www.instagram.com/reel/C4MBh6Fxhzg/?igsh=d2s1bjJzZWhmbWs5;Experiência pessoal 
33;observe a minha irmã autista desligando e religando como se nada tivesse acontecido o próximo é desenhos árabes eu digo um falando tu desconto Manu eu digo hum mandou de quanto fala fala Manu de quanto Manu desenhos árabes Manu de quanto fala fala fala isso agora eu digo doce não Google eu digo 10;TEA;https://www.instagram.com/reel/C5O9rEnr5QG/?igsh=b3VoazdoMGZ0dnB2;Experiência pessoal 
34;ali tem centenas de potinho iguais Para que você quer tanto potinho igual que faz aí eu quero não é assim Augusto justifique então não porque eu quero só porque você quer quero sim Ora se eu quero quem de Deus fotinho foi a senhora sim é aquele né o pequenininho você agora tá querendo os pequenininhos Então vamos jogar fora Aqueles grande não não não hein Olha o depósito lá já tá cheio não tem marrom de colocar não deixa deixa não cabe mais deixe então você não vai mais receber de ninguém né E se Adriana trouxer um dia que você vai colocar mais eu acho que a gente pode selecionar aqueles mais velhos jogar fora para dar lugar aos que vierem novinho não não quero jogar não deixa para lá;TEA;https://www.instagram.com/reel/C6RwIDMRsL5/?igsh=MWUwN2wyNDVxeXFpYQ==;Experiência pessoal 
35;Que cor é essa quem é essa aqui que cor que é essa Qual é a cor vermelho fala vermelho que bicho é esse aqui que time é esse e esse daqui é o pônei fala pônei O que é isso é a melancia fala melancia isso que é isso;TEA;https://www.instagram.com/reel/C583tzsR3fj/?igsh=MTAyNTd3ZTQxb2p4cQ==;Útil
36;obrigada um amor de vocês quebrou a maldição e libertou minha alma não teria que matar de novo não;TEA;https://www.instagram.com/reel/C51HdhDLFcZ/?igsh=MTBqNngxMmV1aXdrbg==;Experiência pessoal 
37;verdade para falar e sai correndo para de se auto Diagnóstico como autista sendo que você só é antissocial e chata esse mal-estar que você está sentindo na inveja Nem olho gordo é intestino preso ou solto Para de se auto diagnosticar como TDAH Às vezes você sai desorganizada mesmo se organiza tenha um planner despertador só queda de cabelo não necessariamente é por fatores hormonais ou falta de vitaminas às vezes é por muito estresse por pessoas tóxicas que você não tira da sua vida existe homem bonito que presta assim você querendo todo eu vou casar com um fazer isso que quero não beber água Não Adianta De nada você bebe água em nome de Jesus vigia na terra se orienta se você não concorda não gostou da vida você sai fora Ninguém te perguntou;TEA;https://www.instagram.com/reel/C5uUplHuEaE/?igsh=MXVkN2N5a3I5YTV2ag==;Experiência pessoal 
